ph,Temperature,Solids,Turbidity,Potability
,14,20791.31898,2.963135381,0
3.716080075,-13,18630.05786,4.500656275,0
8.099124189,6,19909.54173,3.05593375,0
8.316765884,-15,22018.41744,4.628770537,0
9.092223456,4,17978.98634,4.075075425,0
5.584086638,-14,28748.68774,2.559708228,0
10.22386216,12,28749.71654,2.672988737,0
8.635848719,14,13672.09176,4.401424715,0
,-7,14285.58385,3.595017181,0
11.18028447,-7,25484.50849,4.370561937,0
7.360640106,0,32452.61441,3.662291783,0
7.974521649,15,18767.65668,4.011718108,0
7.119824384,10,18730.81365,3.445756223,0
,9,27331.36196,4.413974183,0
7.496232208,-2,28388.00489,4.777382337,0
6.347271761,-12,41065.23476,4.376348291,0
7.0517858,-12,30980.60079,4.268428858,0
9.181560007,-15,24041.32628,4.503660796,0
8.975464348,-3,19460.39813,2.43608559,0
7.371050302,-11,25630.32004,2.560299148,0
,-3,22305.56741,4.133422644,0
6.660212026,3,30944.36359,3.749701241,0
,-4,17107.22423,5.459250956,0
3.902475686,1,21167.5001,4.528522696,0
5.400301781,-5,17266.59342,4.82478639,0
6.514415093,12,21218.70287,5.200885077,0
3.445061864,-6,33424.76868,4.184396969,0
,2,13224.93564,4.004871128,0
,-4,26362.96501,3.991564248,0
,-12,15193.41347,6.038184953,0
7.181448581,-2,15196.22999,5.088859989,0
9.825489908,5,19677.89247,2.857472426,0
10.43329098,-4,22326.89205,5.057310517,0
7.414148196,7,32555.85254,3.160624468,0
,0,14787.20626,5.029166724,0
5.115817064,5,19620.54533,3.902088768,0
3.641629777,-14,24752.07246,3.464353035,0
5.618064406,-8,17281.97517,2.896546941,0
,3,19942.27322,2.907563915,0
9.267187531,6,24683.72357,4.324004646,0
,-4,11703.92391,3.510004045,0
5.331940479,10,16658.8765,4.434820258,0
7.145771545,15,28780.34043,5.182590704,0
9.920691059,-12,9973.934059,4.69070723,0
4.758439425,4,21568.42878,4.542801462,0
5.702925977,-14,35606.44018,4.137739016,0
6.953864226,-8,10575.18628,3.195710328,0
10.68296643,-14,15758.74062,3.999775382,0
,-8,34415.85315,4.405586,0
8.757257397,0,21536.22469,3.626135442,0
,11,27492.30731,3.048057223,0
7.809631898,1,12013.55063,2.447444464,0
6.652488091,8,19871.78845,3.742090426,0
9.147197055,-3,11920.61084,3.794531591,0
10.56074464,-15,21783.65103,3.96468635,0
7.484254838,-8,30616.61515,4.781188177,0
8.520806573,-5,28779.65001,3.94060453,0
4.999413811,8,24323.8659,4.460683932,0
,13,16963.62501,4.405385706,0
,-8,20557.24043,4.08990769,0
3.906078355,12,32144.79993,3.902879712,0
6.391353624,-3,20965.47831,3.923749169,0
,-8,35729.69271,3.855602212,0
8.692092013,9,24656.23968,4.477960248,0
8.085759801,6,32653.91036,4.068688909,0
6.203977702,15,21815.07415,5.215689206,0
5.058108869,-10,34873.93452,5.106655774,0
,-11,27420.16742,4.620793452,0
,-6,12830.48413,3.439740042,0
7.261550522,5,24964.7777,3.636364183,0
7.160467231,7,6743.346066,3.884891044,0
5.704764776,11,33223.58153,4.157533407,0
6.217273135,1,19460.38282,5.325833446,0
8.67993497,-14,22984.05095,3.873470298,0
,13,14859.46642,4.655916599,0
6.897322141,12,25650.77764,5.02278363,0
3.514545529,10,23029.66361,3.762615331,0
3.722500486,9,37962.16799,3.662837732,0
6.455004797,15,24468.04839,2.293431406,0
7.316804754,-10,31903.39981,3.50837265,0
1.844538366,-8,28689.59578,5.013463351,0
